# Truth table
# Generated from circuit CU
# Exported on Wed May 07 03:48:14 AST 2025

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

OP[4..0] | RegDst[1..0] RegWrite EXTOp ALUSrc[1..0] MemRead MemWrite WBData JAL LUI
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 00000   |      01         1       1        00         0       0       0     0   0 
 00001   |      01         1       0        00         0       0       0     0   0 
 00010   |      01         1       0        00         0       0       0     0   0 
 00011   |      01         1       0        00         0       0       0     0   0 
 00100   |      01         1       1        01         1       0       1     0   0 
 00101   |      01         0       1        01         0       1       1     0   0 
 00110   |      01         0       1        00         0       0       0     0   0 
 00111   |      01         0       1        00         0       0       0     0   0 
 01000   |      00         1       1        01         0       0       0     0   0 
 01001   |      00         1       0        01         0       0       0     0   0 
 01010   |      00         1       0        01         0       0       0     0   0 
 01011   |      00         1       0        01         0       0       0     0   0 
 01100   |      00         1       1        01         1       0       1     0   0 
 01101   |      00         0       1        01         0       1       1     0   0 
 01110   |      00         0       1        00         0       0       0     0   0 
 01111   |      00         0       1        00         0       0       0     0   0 
 10000   |      11         0       1        10         0       0       0     0   0 
 10001   |      11         1       0        10         0       0       0     1   0 
 10010   |      11         0       0        10         0       0       0     0   1 
 10011   |      11         1       0        10         0       0       0     1   1 
 10100   |      11         0       1        11         1       0       1     0   0 
 10101   |      11         1       1        11         0       1       1     1   0 
 10110   |      11         0       1        10         0       0       0     0   1 
 10111   |      11         1       1        10         0       0       0     1   1 
 11000   |      10         0       1        11         0       0       0     0   0 
 11001   |      10         1       0        11         0       0       0     0   0 
 11010   |      10         0       0        11         0       0       0     0   1 
 11011   |      10         1       0        11         0       0       0     0   1 
 11100   |      10         0       1        11         1       0       1     0   0 
 11101   |      10         1       1        11         0       1       1     0   0 
 11110   |      10         0       1        10         0       0       0     0   1 
 11111   |      10         1       1        10         0       0       0     0   1 
