# Truth table
# Generated from circuit REVSrc
# Exported on Tue May 06 22:24:03 AST 2025

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

OP[4..0] func[1..0] | REV_Src
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 00000       00     |    0   
 00000       01     |    0   
 00000       10     |    0   
 00000       11     |    0   
 00001       00     |    0   
 00001       01     |    0   
 00001       10     |    0   
 00001       11     |    0   
 00010       00     |    0   
 00010       01     |    0   
 00010       10     |    0   
 00010       11     |    0   
 00011       00     |    1   
 00011       01     |    1   
 00011       10     |    0   
 00011       11     |    0   
 00100       00     |    0   
 00100       01     |    0   
 00100       10     |    0   
 00100       11     |    0   
 00101       00     |    0   
 00101       01     |    0   
 00101       10     |    0   
 00101       11     |    0   
 00110       00     |    0   
 00110       01     |    0   
 00110       10     |    0   
 00110       11     |    0   
 00111       00     |    0   
 00111       01     |    0   
 00111       10     |    0   
 00111       11     |    0   
 01000       00     |    0   
 01000       01     |    0   
 01000       10     |    0   
 01000       11     |    0   
 01001       00     |    0   
 01001       01     |    0   
 01001       10     |    0   
 01001       11     |    0   
 01010       00     |    0   
 01010       01     |    0   
 01010       10     |    0   
 01010       11     |    0   
 01011       00     |    0   
 01011       01     |    0   
 01011       10     |    0   
 01011       11     |    0   
 01100       00     |    0   
 01100       01     |    0   
 01100       10     |    0   
 01100       11     |    0   
 01101       00     |    0   
 01101       01     |    0   
 01101       10     |    0   
 01101       11     |    0   
 01110       00     |    0   
 01110       01     |    0   
 01110       10     |    0   
 01110       11     |    0   
 01111       00     |    0   
 01111       01     |    0   
 01111       10     |    0   
 01111       11     |    0   
 10000       00     |    0   
 10000       01     |    0   
 10000       10     |    0   
 10000       11     |    0   
 10001       00     |    0   
 10001       01     |    0   
 10001       10     |    0   
 10001       11     |    0   
 10010       00     |    0   
 10010       01     |    0   
 10010       10     |    0   
 10010       11     |    0   
 10011       00     |    0   
 10011       01     |    0   
 10011       10     |    0   
 10011       11     |    0   
 10100       00     |    0   
 10100       01     |    0   
 10100       10     |    0   
 10100       11     |    0   
 10101       00     |    0   
 10101       01     |    0   
 10101       10     |    0   
 10101       11     |    0   
 10110       00     |    0   
 10110       01     |    0   
 10110       10     |    0   
 10110       11     |    0   
 10111       00     |    0   
 10111       01     |    0   
 10111       10     |    0   
 10111       11     |    0   
 11000       00     |    0   
 11000       01     |    0   
 11000       10     |    0   
 11000       11     |    0   
 11001       00     |    0   
 11001       01     |    0   
 11001       10     |    0   
 11001       11     |    0   
 11010       00     |    0   
 11010       01     |    0   
 11010       10     |    0   
 11010       11     |    0   
 11011       00     |    0   
 11011       01     |    0   
 11011       10     |    0   
 11011       11     |    0   
 11100       00     |    0   
 11100       01     |    0   
 11100       10     |    0   
 11100       11     |    0   
 11101       00     |    0   
 11101       01     |    0   
 11101       10     |    0   
 11101       11     |    0   
 11110       00     |    0   
 11110       01     |    0   
 11110       10     |    0   
 11110       11     |    0   
 11111       00     |    0   
 11111       01     |    0   
 11111       10     |    0   
 11111       11     |    0   
